Date,Mean,Min,Max,Meandiff,Mindiff,Maxdiff
2015-01-04,62.535,62.49,62.58,,,
2015-01-11,59.66600000000001,58.98,60.55,-0.04587830814743721,-0.056168987037926166,-0.032438478747203625
2015-01-18,57.080000000000005,54.99,58.84,-0.04334126638286473,-0.06765005086469977,-0.028241123038810767
2015-01-25,56.4675,55.71,57.59,-0.010730553608969906,0.013093289689034338,-0.02124405166553367
2015-02-01,55.553999999999995,54.38,56.77,-0.016177447204144046,-0.02387363130497211,-0.014238583087341605
2015-02-08,56.646,55.47,57.89,0.019656550383410742,0.020044133872747283,0.019728729963008673
2015-02-15,58.778,57.82,59.67,0.03763725594040168,0.042365242473409115,0.030747970288478088
2015-02-22,59.625,59.23,60.1,0.014410153458777053,0.02438602559667924,0.007206301323948283
2015-03-01,60.83399999999999,59.35,61.58,0.020276729559748352,0.0020260003376668667,0.0246256239600664
2015-03-08,61.751999999999995,60.89,62.13,0.015090245586349749,0.02594776748104466,0.008931471256901746
2015-03-15,60.81400000000001,59.96,61.5,-0.015189791423759313,-0.015273443915256979,-0.010140028971511339
2015-03-22,61.632000000000005,61.2,61.85,0.013450850133192915,0.020680453635757212,0.005691056910569037
2015-03-29,60.05999999999999,59.54,61.14,-0.02550623052959533,-0.027124183006535962,-0.01147938561034767
2015-04-05,60.502500000000005,59.95,60.96,0.007367632367632604,0.006886126973463247,-0.0029440628066732533
2015-04-12,61.108000000000004,60.47,61.7,0.01000785091525147,0.008673894912426983,0.012139107611548683
2015-04-19,63.194,62.07,64.21,0.03413628330169538,0.02645940135604441,0.04068071312803867
2015-04-26,62.778000000000006,62.31,63.24,-0.006582903440199961,0.003866602223296267,-0.01510668120230485
2015-05-03,63.114,62.34,63.61,0.005352193443562969,0.000481463649494529,0.005850727387729293
2015-05-10,64.60600000000001,63.92,65.49,0.02363976296859671,0.02534488290022452,0.029555101399151074
2015-05-17,65.652,65.36,66.05,0.01619044670773606,0.02252816020025028,0.008550923805161093
2015-05-24,66.60600000000002,66.42,67.01,0.01453116432096535,0.016217870257037914,0.014534443603331004
2015-05-31,66.04499999999999,65.73,66.47,-0.008422664624809117,-0.010388437217705437,-0.008058498731532748
2015-06-07,66.51,66.02,67.42,0.00704065409947785,0.0044119884375475316,0.014292161877538678
2015-06-14,67.82,66.89,68.52,0.01969628627274078,0.013177824901545065,0.016315633343221503
2015-06-21,68.27199999999999,67.99,68.78,0.006664700678266078,0.016444909552997267,0.003794512551080098
2015-06-28,69.066,68.65,69.75,0.011629950785094989,0.009707309898514538,0.014102936900261653
2015-07-05,67.6375,67.2,68.07,-0.020683114701879335,-0.021121631463947632,-0.02408602150537642
2015-07-12,66.54400000000001,65.43,67.33,-0.016167067085566367,-0.026339285714285676,-0.010871162039077342
2015-07-19,69.018,68.09,69.56,0.03717840827121899,0.04065413418920971,0.03312045150750054
2015-07-26,69.398,68.91,70.08,0.005505810078530127,0.012042884417682309,0.0074755606670500185
2015-08-02,68.51400000000001,68.01,69.04,-0.012738119254157021,-0.013060513713539224,-0.0148401826484017
2015-08-09,68.40400000000001,68.05,68.73,-0.0016055112823656348,0.000588148801646593,-0.0044901506373117295
2015-08-16,67.96000000000001,67.24,68.89,-0.006490848488392542,-0.011903012490815601,0.002327949949076036
2015-08-23,66.684,63.6,68.21,-0.018775750441436312,-0.054134443783462105,-0.009870808535346276
2015-08-30,62.336,59.91,64.48,-0.06520304720772596,-0.05801886792452837,-0.05468406392024616
2015-09-06,62.46,61.45,64.1,0.001989219712525747,0.025705224503421942,-0.005893300248139055
2015-09-13,62.64,62.18,63.16,0.0028818443804035088,0.011879576891781873,-0.014664586583463257
2015-09-20,62.738000000000014,60.94,64.14,0.0015644955300129215,-0.019942103570279812,0.01551614946168467
2015-09-27,60.938,60.22,61.47,-0.028690745640600812,-0.011814899901542497,-0.04162768942937323
2015-10-04,60.604,59.84,61.42,-0.005480980668876589,-0.006310195948189934,-0.0008134049129656651
2015-10-11,62.052,61.93,62.13,0.02389281235562013,0.03492647058823528,0.011559752523607969
2015-10-18,61.516,59.99,62.43,-0.008637916586089145,-0.03132569029549492,0.004828585224529114
2015-10-25,62.772000000000006,62.06,63.87,0.020417452370115274,0.034505750958493175,0.023065833733781904
2015-11-01,64.5,63.64,65.5,0.02752819728541378,0.025459233000322268,0.025520588695788327
2015-11-08,66.414,65.54,68.46,0.029674418604651143,0.02985543683218106,0.045190839694656315
2015-11-15,66.79599999999999,65.56,67.68,0.005751799319420492,0.000305157155935154,-0.0113935144609989
2015-11-22,67.058,66.13,67.66,0.0039223905623093636,0.008694325808419556,-0.0002955082742318593
