Date,Close,PriceDiff
2014-12-31,62.58,
2015-01-02,62.49,-0.0899999999999963
2015-01-05,60.55,-1.9400000000000048
2015-01-06,58.98,-1.5700000000000003
2015-01-07,59.07,0.09000000000000341
2015-01-08,60.39,1.3200000000000003
2015-01-09,59.34,-1.0499999999999972
2015-01-12,58.83,-0.5100000000000051
2015-01-13,58.84,0.010000000000005116
2015-01-14,56.81,-2.030000000000001
2015-01-15,54.99,-1.8200000000000003
2015-01-16,55.93,0.9399999999999977
2015-01-20,55.71,-0.21999999999999886
2015-01-21,55.89,0.17999999999999972
2015-01-22,57.59,1.7000000000000028
2015-01-23,56.68,-0.9100000000000037
2015-01-26,56.77,0.09000000000000341
2015-01-27,56.2,-0.5700000000000003
2015-01-28,54.75,-1.4500000000000028
2015-01-29,55.67,0.9200000000000017
2015-01-30,54.38,-1.2899999999999991
2015-02-02,55.47,1.0899999999999963
2015-02-03,56.72,1.25
2015-02-04,56.38,-0.3399999999999963
2015-02-05,56.77,0.39000000000000057
2015-02-06,57.89,1.1199999999999974
2015-02-09,57.82,-0.07000000000000028
2015-02-10,58.46,0.6400000000000006
2015-02-11,58.37,-0.09000000000000341
2015-02-12,59.57,1.2000000000000028
2015-02-13,59.67,0.10000000000000142
2015-02-17,60.1,0.4299999999999997
2015-02-18,59.37,-0.730000000000004
2015-02-19,59.23,-0.14000000000000057
2015-02-20,59.8,0.5700000000000003
2015-02-23,59.35,-0.44999999999999574
2015-02-24,60.82,1.4699999999999989
2015-02-25,61.14,0.3200000000000003
2015-02-26,61.58,0.4399999999999977
2015-02-27,61.28,-0.29999999999999716
2015-03-02,61.77,0.490000000000002
2015-03-03,61.97,0.19999999999999574
2015-03-04,62.13,0.1600000000000037
2015-03-05,62.0,-0.13000000000000256
2015-03-06,60.89,-1.1099999999999994
2015-03-09,61.5,0.6099999999999994
2015-03-10,59.96,-1.5399999999999991
2015-03-11,60.24,0.28000000000000114
2015-03-12,61.37,1.1299999999999955
2015-03-13,61.0,-0.36999999999999744
2015-03-16,61.85,0.8500000000000014
2015-03-17,61.61,-0.240000000000002
2015-03-18,61.75,0.14000000000000057
2015-03-19,61.2,-0.5499999999999972
